Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Bronchial Asthma,fatigue,cough,breathlessness,family_history
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Dengue,skin_rash,chills,joint_pain,vomiting
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Heart attack,vomiting,breathlessness,sweating,
Hypothyroidism,fatigue,weight_gain,mood_swings,lethargy
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Jaundice,itching,vomiting,fatigue,weight_loss
Heart attack,vomiting,breathlessness,sweating,chest_pain
Acne,skin_rash,pus_filled_pimples,scurring,
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Allergy,continuous_sneezing,shivering,chills,
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Typhoid,chills,vomiting,fatigue,high_fever
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Chicken pox,itching,skin_rash,fatigue,lethargy
Malaria,chills,vomiting,high_fever,sweating
Pneumonia,chills,fatigue,cough,high_fever
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Varicose veins,fatigue,cramps,bruising,swollen_legs
Chicken pox,itching,skin_rash,fatigue,lethargy
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Typhoid,chills,vomiting,fatigue,high_fever
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level
Jaundice,itching,vomiting,fatigue,weight_loss
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Malaria,chills,vomiting,high_fever,sweating
Hypertension ,headache,dizziness,loss_of_balance,lack_of_concentration
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,
Arthritis,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Heart attack,vomiting,breathlessness,sweating,chest_pain
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite
Varicose veins,fatigue,cramps,bruising,obesity
Osteoarthristis,joint_pain,neck_pain,hip_joint_pain,swelling_joints
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Jaundice,itching,vomiting,fatigue,weight_loss
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Varicose veins,fatigue,cramps,bruising,obesity
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Dimorphic hemmorhoids(piles),constipation,pain_in_anal_region,bloody_stool,irritation_in_anus
Varicose veins,fatigue,cramps,bruising,obesity
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Pneumonia,chills,cough,high_fever,breathlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Varicose veins,fatigue,cramps,bruising,obesity
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Pneumonia,chills,fatigue,cough,high_fever
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Malaria,chills,vomiting,high_fever,sweating
Allergy,continuous_sneezing,shivering,watering_from_eyes,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hypertension ,headache,chest_pain,dizziness,lack_of_concentration
Typhoid,chills,vomiting,fatigue,high_fever
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Chicken pox,itching,skin_rash,fatigue,lethargy
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Malaria,chills,vomiting,high_fever,sweating
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Alcoholic hepatitis,vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen
Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Jaundice,vomiting,fatigue,weight_loss,high_fever
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Hepatitis D,joint_pain,vomiting,fatigue,dark_urine
Malaria,chills,vomiting,high_fever,sweating
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,lethargy
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Bronchial Asthma,cough,high_fever,breathlessness,family_history
Allergy,continuous_sneezing,shivering,watering_from_eyes,
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Jaundice,vomiting,fatigue,weight_loss,high_fever
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Diabetes ,fatigue,weight_loss,restlessness,lethargy
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Varicose veins,fatigue,cramps,bruising,obesity
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hepatitis D,joint_pain,fatigue,yellowish_skin,dark_urine
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Jaundice,itching,vomiting,fatigue,weight_loss
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Typhoid,chills,vomiting,fatigue,high_fever
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Tuberculosis,chills,vomiting,fatigue,weight_loss
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Hepatitis C,fatigue,nausea,loss_of_appetite,yellowing_of_eyes
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Typhoid,chills,vomiting,fatigue,high_fever
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Chicken pox,itching,skin_rash,fatigue,lethargy
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Heart attack,vomiting,breathlessness,sweating,chest_pain
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger
Acne,skin_rash,blackheads,scurring,
Pneumonia,fatigue,cough,high_fever,breathlessness
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Common Cold,continuous_sneezing,chills,fatigue,cough
Psoriasis,skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails
Dengue,skin_rash,chills,joint_pain,vomiting
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance
Hepatitis E,joint_pain,vomiting,high_fever,yellowish_skin
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hepatitis B,itching,lethargy,yellowish_skin,dark_urine
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Acne,skin_rash,pus_filled_pimples,blackheads,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Pneumonia,chills,fatigue,cough,high_fever
Hyperthyroidism,fatigue,weight_loss,restlessness,sweating
Pneumonia,chills,fatigue,cough,high_fever
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
AIDS,muscle_wasting,patches_in_throat,high_fever,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
Hypertension ,headache,chest_pain,loss_of_balance,lack_of_concentration
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Jaundice,itching,vomiting,fatigue,weight_loss
Dengue,skin_rash,chills,joint_pain,vomiting
Common Cold,continuous_sneezing,fatigue,cough,high_fever
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Varicose veins,fatigue,cramps,bruising,obesity
Jaundice,itching,vomiting,fatigue,weight_loss
AIDS,muscle_wasting,patches_in_throat,high_fever,
Chicken pox,itching,skin_rash,fatigue,lethargy
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Hepatitis C,fatigue,yellowish_skin,nausea,yellowing_of_eyes
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Varicose veins,fatigue,cramps,bruising,obesity
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Varicose veins,fatigue,cramps,bruising,obesity
Typhoid,chills,vomiting,fatigue,high_fever
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Tuberculosis,chills,vomiting,fatigue,weight_loss
Gastroenteritis,vomiting,dehydration,diarrhoea,
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Varicose veins,fatigue,cramps,bruising,obesity
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting
Common Cold,continuous_sneezing,chills,fatigue,cough
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Typhoid,chills,vomiting,fatigue,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Malaria,vomiting,high_fever,sweating,headache
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Pneumonia,chills,fatigue,cough,high_fever
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Malaria,chills,vomiting,high_fever,sweating
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Tuberculosis,chills,vomiting,fatigue,weight_loss
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Common Cold,continuous_sneezing,chills,fatigue,cough
Heart attack,vomiting,breathlessness,sweating,chest_pain
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine
Hypertension ,headache,chest_pain,dizziness,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Malaria,chills,vomiting,high_fever,sweating
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Acne,skin_rash,pus_filled_pimples,scurring,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Varicose veins,fatigue,cramps,bruising,swollen_legs
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Pneumonia,chills,fatigue,cough,breathlessness
Heart attack,vomiting,sweating,chest_pain,
Varicose veins,fatigue,bruising,obesity,swollen_legs
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Typhoid,chills,fatigue,high_fever,headache
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Diabetes ,fatigue,restlessness,lethargy,irregular_sugar_level
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Pneumonia,chills,fatigue,cough,high_fever
Chicken pox,itching,skin_rash,fatigue,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite
Allergy,shivering,chills,watering_from_eyes,
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Chicken pox,skin_rash,fatigue,lethargy,high_fever
Hepatitis B,itching,fatigue,lethargy,dark_urine
Dengue,skin_rash,chills,joint_pain,vomiting
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Dengue,skin_rash,joint_pain,vomiting,fatigue
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Typhoid,chills,vomiting,fatigue,high_fever
Common Cold,continuous_sneezing,chills,cough,high_fever
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Malaria,chills,vomiting,high_fever,sweating
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Allergy,continuous_sneezing,shivering,chills,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Dengue,skin_rash,chills,joint_pain,vomiting
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Allergy,continuous_sneezing,shivering,watering_from_eyes,
Osteoarthristis,joint_pain,neck_pain,knee_pain,swelling_joints
Heart attack,vomiting,breathlessness,chest_pain,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Acne,pus_filled_pimples,blackheads,scurring,
Dengue,skin_rash,chills,joint_pain,vomiting
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
Arthritis,muscle_weakness,swelling_joints,movement_stiffness,painful_walking
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Chicken pox,itching,skin_rash,fatigue,lethargy
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Allergy,shivering,chills,watering_from_eyes,
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis E,joint_pain,fatigue,high_fever,yellowish_skin
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
Jaundice,itching,vomiting,fatigue,weight_loss
Heart attack,vomiting,breathlessness,sweating,chest_pain
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Acne,skin_rash,blackheads,scurring,
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
AIDS,muscle_wasting,patches_in_throat,high_fever,
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hypoglycemia,fatigue,anxiety,sweating,headache
Hepatitis B,itching,fatigue,lethargy,yellowish_skin
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Jaundice,itching,vomiting,fatigue,weight_loss
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach
Diabetes ,fatigue,weight_loss,restlessness,lethargy
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision
Heart attack,vomiting,breathlessness,sweating,chest_pain
Migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Jaundice,itching,vomiting,fatigue,weight_loss
Hepatitis D,vomiting,fatigue,yellowish_skin,dark_urine
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
Dengue,skin_rash,chills,joint_pain,vomiting
Malaria,chills,vomiting,high_fever,sweating
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,
Pneumonia,chills,fatigue,cough,high_fever
Diabetes ,fatigue,weight_loss,restlessness,lethargy
Tuberculosis,chills,vomiting,fatigue,weight_loss
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination
Bronchial Asthma,fatigue,cough,breathlessness,family_history
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain
Acne,skin_rash,blackheads,scurring,
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Malaria,chills,high_fever,sweating,headache
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Chicken pox,itching,skin_rash,lethargy,high_fever
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness
Hepatitis E,joint_pain,vomiting,fatigue,high_fever
Typhoid,chills,vomiting,fatigue,high_fever
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Hypoglycemia,vomiting,fatigue,anxiety,sweating
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Tuberculosis,chills,vomiting,fatigue,weight_loss
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Chicken pox,itching,skin_rash,fatigue,lethargy
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Bronchial Asthma,fatigue,cough,high_fever,breathlessness
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes
Dengue,skin_rash,chills,joint_pain,vomiting
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Malaria,chills,vomiting,high_fever,sweating
Heart attack,vomiting,sweating,chest_pain,
Chicken pox,itching,skin_rash,fatigue,lethargy
Chicken pox,itching,skin_rash,fatigue,lethargy
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting
Diabetes ,weight_loss,restlessness,lethargy,irregular_sugar_level
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness
Acne,skin_rash,pus_filled_pimples,blackheads,scurring
Malaria,chills,vomiting,high_fever,sweating
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,
Malaria,chills,vomiting,high_fever,sweating
Typhoid,chills,vomiting,fatigue,high_fever
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain
GERD,stomach_pain,acidity,ulcers_on_tongue,cough
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Pneumonia,chills,fatigue,cough,high_fever
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium
Pneumonia,fatigue,cough,high_fever,breathlessness
Hepatitis D,joint_pain,vomiting,yellowish_skin,dark_urine
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea
